ablation,accuracy,brier_score,calibration_error,log_loss,matches,mean_true_probability,model_name,ranked_probability_score,segment,segment_value
lgbm_contextual,0.6785714286,0.4308770984,0.1287357036,0.7699051005,28,0.5330691486,contextual_lgbm_v1,0.1455868512,fold,copa_america_2024
lgbm_contextual,0.5208333333,0.5928274912,0.1588291527,0.9803643230,48,0.4399626787,contextual_lgbm_v1,0.1938896107,fold,euro_2024
lgbm_contextual,0.6166666667,0.5583812498,0.1317684039,0.9337950368,60,0.4360355370,contextual_lgbm_v1,0.2094119710,fold,world_cup_2018
lgbm_contextual,0.5762711864,0.5706978069,0.1138568303,0.9925651120,59,0.4557865645,contextual_lgbm_v1,0.2220570920,fold,world_cup_2022
lgbm_stack,0.6785714286,0.4351830482,0.0907233738,0.7859773144,28,0.5290749270,contextual_lgbm_v1,0.1458753018,fold,copa_america_2024
lgbm_stack,0.5208333333,0.6088873404,0.1466583165,1.0066629979,48,0.4168903488,contextual_lgbm_v1,0.1995469091,fold,euro_2024
lgbm_stack,0.6166666667,0.5619026218,0.1238484483,0.9450350016,60,0.4273660805,contextual_lgbm_v1,0.2109299511,fold,world_cup_2018
lgbm_stack,0.5762711864,0.5957086404,0.1061512991,1.0277527150,59,0.4418410041,contextual_lgbm_v1,0.2287047863,fold,world_cup_2022
contextual_logistic,0.6428571429,0.4411405001,0.1026372474,0.7842009776,28,0.5198487049,contextual_logit_v1,0.1501952393,fold,copa_america_2024
contextual_logistic,0.5416666667,0.5887470901,0.0930433122,0.9859774770,48,0.4248710453,contextual_logit_v1,0.1913695515,fold,euro_2024
contextual_logistic,0.6000000000,0.5506449811,0.1028841135,0.9283573625,60,0.4362688783,contextual_logit_v1,0.2086291853,fold,world_cup_2018
contextual_logistic,0.5593220339,0.5733923639,0.1085643478,0.9828383498,59,0.4411543081,contextual_logit_v1,0.2217366872,fold,world_cup_2022
logistic_stack,0.6428571429,0.4366865442,0.0968115352,0.7773377631,28,0.5200390928,contextual_logit_v1,0.1477543588,fold,copa_america_2024
logistic_stack,0.5625000000,0.5916090843,0.1228090604,0.9912932357,48,0.4206664153,contextual_logit_v1,0.1926442611,fold,euro_2024
logistic_stack,0.6333333333,0.5426657537,0.0847432784,0.9189419772,60,0.4390737748,contextual_logit_v1,0.2048334933,fold,world_cup_2018
logistic_stack,0.5762711864,0.5932209079,0.1120012359,1.0242161744,59,0.4482169903,contextual_logit_v1,0.2279752143,fold,world_cup_2022
poisson_official,0.6428571429,0.4650236881,0.1337753339,0.8169751067,28,0.5003484200,poisson_goal_v1,0.1583070518,fold,copa_america_2024
poisson_official,0.5625000000,0.5783418270,0.0864692973,0.9734264144,48,0.4201277630,poisson_goal_v1,0.1889121888,fold,euro_2024
poisson_official,0.6000000000,0.5472522626,0.1240695569,0.9285723783,60,0.4264986546,poisson_goal_v1,0.2038980914,fold,world_cup_2018
poisson_official,0.5593220339,0.5767167773,0.1005491005,0.9991543519,59,0.4228087566,poisson_goal_v1,0.2166110902,fold,world_cup_2022
lgbm_contextual,0.6166666667,0.5583812498,0.1317684039,0.9337950368,60,0.4360355370,contextual_lgbm_v1,0.2094119710,year,2018
lgbm_contextual,0.5762711864,0.5706978069,0.1138568303,0.9925651120,59,0.4557865645,contextual_lgbm_v1,0.2220570920,year,2022
lgbm_contextual,0.5789473684,0.5331615570,0.0834448739,0.9028267147,76,0.4742650624,contextual_lgbm_v1,0.1760938572,year,2024
lgbm_stack,0.6166666667,0.5619026218,0.1238484483,0.9450350016,60,0.4273660805,contextual_lgbm_v1,0.2109299511,year,2018
lgbm_stack,0.5762711864,0.5957086404,0.1061512991,1.0277527150,59,0.4418410041,contextual_lgbm_v1,0.2287047863,year,2022
lgbm_stack,0.5789473684,0.5448910222,0.1037450067,0.9253577461,76,0.4582215092,contextual_lgbm_v1,0.1797731591,year,2024
contextual_logistic,0.6000000000,0.5506449811,0.1028841135,0.9283573625,60,0.4362688783,contextual_logit_v1,0.2086291853,year,2018
contextual_logistic,0.5593220339,0.5733923639,0.1085643478,0.9828383498,59,0.4411543081,contextual_logit_v1,0.2217366872,year,2022
contextual_logistic,0.5789473684,0.5343657148,0.0699906838,0.9116387667,76,0.4598628146,contextual_logit_v1,0.1762000680,year,2024
logistic_stack,0.6333333333,0.5426657537,0.0847432784,0.9189419772,60,0.4390737748,contextual_logit_v1,0.2048334933,year,2018
logistic_stack,0.5762711864,0.5932209079,0.1120012359,1.0242161744,59,0.4482169903,contextual_logit_v1,0.2279752143,year,2022
logistic_stack,0.5921052632,0.5345323590,0.0864871277,0.9124675353,76,0.4572774017,contextual_logit_v1,0.1761058761,year,2024
